[2019/06/07 21:16:18][INFO][getSearchRequest]  direction: null
[2019/06/07 21:16:18][INFO][getSearchRequest]  orderby: null
[2019/06/07 21:16:18][INFO][getSearchRequest]  Year is 0.
[2019/06/07 21:16:18][INFO][getSearchRequest]  Check which values are null: {"title":"A","genre":"","director":"","year":0,"hidden":false,"limit":10,"offset":0,"orderby":"rating","direction":"desc"}
[2019/06/07 21:16:18][INFO][getSearchRequest]  Title: A
[2019/06/07 21:16:18][INFO][getSearchRequest]  Genre: 
[2019/06/07 21:16:18][INFO][getSearchRequest]  Year: 0
[2019/06/07 21:16:18][INFO][getSearchRequest]  Director: 
[2019/06/07 21:16:18][INFO][getSearchRequest]  hidden: false
[2019/06/07 21:16:18][INFO][getSearchRequest]  Offset: 0
[2019/06/07 21:16:18][INFO][getSearchRequest]  Limit: 10
[2019/06/07 21:16:18][INFO][getSearchRequest]  Sortby: desc
[2019/06/07 21:16:18][INFO][getSearchRequest]  Orderby: rating
[2019/06/07 21:16:18][INFO][retrieveMoviesFromDB]  Trying query:com.mysql.cj.jdbc.ClientPreparedStatement: SELECT DISTINCT movies.id, title, director, year, rating, numVotes FROM movies JOIN ratings ON ratings.movieId = movies.id, genres g, genres_in_movies gm WHERE movies.id = gm.movieId AND gm.genreId = g.id AND movies.year LIKE '%0%' AND movies.director LIKE '%%' AND movies.title LIKE '%A%' AND g.name LIKE '%%' ORDER BY rating desc, title ASC LIMIT 0, 10;
[2019/06/07 21:16:18][INFO][retrieveMoviesFromDB]  Query succeeded to retrieve movie records.
[2019/06/07 21:16:18][INFO][buildModelFromList]  Creating model...
[2019/06/07 21:16:18][INFO][buildModelFromList]  Movies list is not empty...
[2019/06/07 21:16:18][INFO][buildModelFromList]  Len of Movies list: 10
[2019/06/07 21:16:18][INFO][buildModelFromList]  Adding movie Loma Lynda: Episode II to array.
[2019/06/07 21:16:18][INFO][buildModelFromList]  Adding movie Addo: The King of the Beasts to array.
[2019/06/07 21:16:18][INFO][buildModelFromList]  Adding movie American Generator to array.
[2019/06/07 21:16:18][INFO][buildModelFromList]  Adding movie Die Perle in der Kacke to array.
[2019/06/07 21:16:18][INFO][buildModelFromList]  Adding movie Four Bangers to array.
